word,side,affix,root,root_free,method,zipf,freq,comp
portly,suffix,ly,port,True,family,2.42,2.63e-07,-0.2063104212284088
comer,suffix,er,come,True,family,2.86,7.24e-07,-0.20626777410507202
joint,suffix,t,join,True,family,4.71,5.13e-05,-0.18956179916858673
survey,prefix,sur,vey,True,freeroot,4.69,4.9e-05,-0.1785435825586319
inclosed,prefix,im,close,True,family,1.61,4.07e-08,-0.16394585371017456
deadly,suffix,ly,dead,True,family,4.16,1.45e-05,-0.15593278408050537
riddance,suffix,ance,rid,True,family,2.9,7.94e-07,-0.1502804011106491
massy,suffix,y,mass,True,family,2.25,1.78e-07,-0.14978757500648499
jobber,suffix,er,job,True,family,2.37,2.34e-07,-0.14193086326122284
rockery,suffix,ory,rock,True,family,1.83,6.76e-08,-0.13734465837478638
outbreak,prefix,out,break,True,family,3.99,9.77e-06,-0.13155196607112885
congress,prefix,co,gress,True,family,4.9,7.94e-05,-0.12971645593643188
ministration,suffix,ion,minister,True,family,1.71,5.13e-08,-0.12746663391590118
corporate,suffix,ate,corpor,False,family,4.64,4.37e-05,-0.12723027169704437
mostly,suffix,ly,most,True,family,4.83,6.76e-05,-0.1272047460079193
corpora,suffix,a,corpor,False,family,2.36,2.29e-07,-0.1223064437508583
radical,suffix,al,radic,True,freeroot,4.33,2.14e-05,-0.12186020612716675
ridden,suffix,en,rid,True,family,3.62,4.17e-06,-0.12050755321979523
servitor,suffix,or,serve,True,family,1.88,7.59e-08,-0.1203603520989418
federal,suffix,al,feder,True,family,5.13,0.000135,-0.11983322352170944
scathingly,suffix,ly,scathe,False,family,1.93,8.51e-08,-0.11637423932552338
continent,suffix,ant,contain,True,family,4.07,1.17e-05,-0.11628348380327225
dejected,prefix,de,ject,False,family,2.77,5.89e-07,-0.11511929333209991
polymath,prefix,poly,math,True,family,2.18,1.51e-07,-0.11442910134792328
leaden,suffix,en,lead,True,family,2.4,2.51e-07,-0.11234185099601746
require,prefix,re,quire,True,family,4.78,6.03e-05,-0.11214988678693771
provide,prefix,pro,vide,True,freeroot,5.15,0.000141,-0.11098504066467285
stricken,suffix,en,strick,True,freeroot,3.52,3.31e-06,-0.11064805835485458
receive,prefix,re,ceive,False,family,4.85,7.08e-05,-0.11062422394752502
research,prefix,re,search,True,family,5.39,0.000245,-0.10973227024078369
speaker,suffix,er,speak,True,family,4.49,3.09e-05,-0.10897592455148697
traduced,prefix,trans,duct,True,family,1.61,4.07e-08,-0.10834357142448425
factory,suffix,ory,fact,True,family,4.55,3.55e-05,-0.10756776481866837
inmate,prefix,in,mate,True,family,3.54,3.47e-06,-0.10440648347139359
downy,suffix,y,down,True,family,2.6,3.98e-07,-0.10414804518222809
majorette,suffix,ette,major,True,family,1.73,5.37e-08,-0.10248818248510361
leader,suffix,er,lead,True,family,4.95,8.91e-05,-0.10170744359493256
thirdly,suffix,ly,third,True,freeroot,3.06,1.15e-06,-0.10166987031698227
offish,suffix,ish,off,True,freeroot,1.97,9.33e-08,-0.0979250967502594
secondment,suffix,ment,second,True,family,2.16,1.45e-07,-0.09731996804475784
situation,suffix,ion,situate,True,freeroot,5.09,0.000123,-0.09633033722639084
correspondingly,suffix,ly,correspond,True,family,2.76,5.75e-07,-0.09524239599704742
majority,suffix,ity,major,True,family,4.94,8.71e-05,-0.09339402616024017
boxer,suffix,er,box,True,family,3.74,5.5e-06,-0.09229782968759537
arose,prefix,a,rose,True,family,3.73,5.37e-06,-0.09143539518117905
continence,suffix,ance,contain,True,family,2.1,1.26e-07,-0.0888693556189537
amount,prefix,a,mount,True,family,5.13,0.000135,-0.0883977934718132
torrential,suffix,al,torrence,True,freeroot,2.9,7.94e-07,-0.08785954117774963
springy,suffix,y,spring,True,family,2.46,2.88e-07,-0.08706142753362656
stately,suffix,ly,state,True,family,3.13,1.35e-06,-0.08651096373796463
federate,suffix,ate,feder,True,family,1.78,6.03e-08,-0.08648277074098587
fleetingly,suffix,ly,fleet,True,freeroot,2.11,1.29e-07,-0.08606565743684769
matey,suffix,y,mate,True,family,2.5,3.16e-07,-0.08545785397291183
outskirts,prefix,out,skirt,True,freeroot,3.56,3.63e-06,-0.08407126367092133
looker,suffix,er,look,True,family,2.55,3.55e-07,-0.08351337164640427
