word,root,affix,side,zipf,comp
refused,fused,re,prefix,4.54,-0.2469405084848404
mission,sion,mis,prefix,4.87,-0.20381641387939453
remains,mains,re,prefix,4.8,-0.2015889436006546
reported,ported,re,prefix,5.0,-0.1897127330303192
consist,cons,ist,suffix,3.94,-0.1826435774564743
preface,face,pre,prefix,3.39,-0.15902261435985565
refuses,fuses,re,prefix,4.02,-0.15847408771514893
relevant,levant,re,prefix,4.61,-0.15712179243564606
dispatch,patch,dis,prefix,3.76,-0.15412640571594238
reward,ward,re,prefix,4.33,-0.1539485901594162
resides,sides,re,prefix,3.54,-0.15301963686943054
reveal,veal,re,prefix,4.43,-0.14530564844608307
record,cord,re,prefix,5.21,-0.14356328547000885
charity,char,ity,suffix,4.45,-0.14136798679828644
records,cords,re,prefix,4.9,-0.13648369908332825
reactor,actor,re,prefix,3.83,-0.13199855387210846
reversed,versed,re,prefix,3.88,-0.13165871798992157
released,leased,re,prefix,5.05,-0.12806151807308197
rewards,wards,re,prefix,4.1,-0.12555623054504395
relate,late,re,prefix,4.24,-0.12358181923627853
retail,tail,re,prefix,4.55,-0.11957674473524094
reaching,aching,re,prefix,4.46,-0.11742310225963593
disappointing,appointing,dis,prefix,4.02,-0.11664091795682907
antigone,gone,anti,prefix,2.51,-0.11263643205165863
reactors,actors,re,prefix,3.52,-0.11249149590730667
cooperation,cooper,ation,suffix,4.3,-0.11189809441566467
resting,sting,re,prefix,3.89,-0.10937198251485825
refuse,fuse,re,prefix,4.39,-0.10462430864572525
situation,situ,ation,suffix,5.09,-0.10230717808008194
presides,sides,pre,prefix,2.71,-0.10119207948446274
overseeing,seeing,over,prefix,3.38,-0.09798314422369003
captive,capt,ive,suffix,3.7,-0.09629307687282562
replaces,places,re,prefix,3.63,-0.09319011867046356
interfaces,faces,inter,prefix,3.47,-0.08978889137506485
audition,audi,tion,suffix,3.77,-0.08976957201957703
repeat,peat,re,prefix,4.49,-0.0873880609869957
preside,side,pre,prefix,2.99,-0.08666297048330307
distribute,tribute,dis,prefix,3.79,-0.08362771570682526
resorts,sorts,re,prefix,3.75,-0.0806240662932396
really,ally,re,prefix,5.97,-0.07666952162981033
prevail,vail,pre,prefix,3.55,-0.07480413466691971
resorted,sorted,re,prefix,3.23,-0.07272224873304367
request,quest,re,prefix,4.76,-0.07047227025032043
oversight,sight,over,prefix,3.83,-0.06965796649456024
generalist,general,ist,suffix,2.63,-0.06458799540996552
outlined,lined,out,prefix,3.87,-0.06392093747854233
preceded,ceded,pre,prefix,3.68,-0.06276597827672958
violation,viola,tion,suffix,4.15,-0.0626726970076561
fallible,fall,ible,suffix,2.56,-0.06205727159976959
revolt,volt,re,prefix,3.73,-0.06041181832551956
transparent,parent,trans,prefix,4.01,-0.058823417872190475
outages,ages,out,prefix,3.09,-0.05856611952185631
sensation,sens,ation,suffix,3.9,-0.05786740407347679
refined,fined,re,prefix,3.83,-0.05763990804553032
transformer,former,trans,prefix,3.37,-0.055042628198862076
woodward,wood,ward,suffix,3.5,-0.05366165190935135
mothership,mother,ship,suffix,2.69,-0.05342312902212143
reliable,liable,re,prefix,4.29,-0.05337800085544586
casement,case,ment,suffix,2.68,-0.05331362411379814
reports,ports,re,prefix,4.9,-0.05285334214568138
unions,ions,un,prefix,4.24,-0.05176263675093651
methodist,method,ist,suffix,3.65,-0.05115898698568344
revenue,venue,re,prefix,4.64,-0.05011188983917236
understandings,standings,under,prefix,2.96,-0.048277031630277634
remembers,members,re,prefix,3.93,-0.046638261526823044
overseas,seas,over,prefix,4.29,-0.045645102858543396
underwriter,writer,under,prefix,2.64,-0.045574575662612915
cellist,cell,ist,suffix,2.71,-0.04474027827382088
unturned,turned,un,prefix,2.73,-0.043824728578329086
outward,ward,out,prefix,3.52,-0.04381381720304489
outputs,puts,out,prefix,3.39,-0.04282647371292114
prevent,vent,pre,prefix,4.79,-0.042563896626234055
release,lease,re,prefix,5.09,-0.04002571478486061
retina,tina,re,prefix,3.4,-0.03929167613387108
missing,sing,mis,prefix,5.05,-0.0375368632376194
probation,prob,ation,suffix,3.79,-0.03734401986002922
intermission,mission,inter,prefix,3.01,-0.03580564260482788
relays,lays,re,prefix,3.19,-0.034742165356874466
discrete,crete,dis,prefix,3.56,-0.03465056046843529
disorders,orders,dis,prefix,4.14,-0.03417449817061424
commandment,command,ment,suffix,3.17,-0.0325850248336792
grateful,grate,ful,suffix,4.35,-0.03203567862510681
underwriters,writers,under,prefix,2.84,-0.03145969286561012
releasing,leasing,re,prefix,4.14,-0.029742920771241188
supervision,vision,super,prefix,3.94,-0.0279163159430027
understudy,study,under,prefix,2.75,-0.027321629226207733
transporter,porter,trans,prefix,3.19,-0.026832960546016693
remember,member,re,prefix,5.38,-0.026514682918787003
outlast,last,out,prefix,2.81,-0.025329208001494408
preventing,venting,pre,prefix,4.12,-0.02436278760433197
diversity,divers,ity,suffix,4.32,-0.024294758215546608
dislocated,located,dis,prefix,3.03,-0.023894550278782845
presiding,siding,pre,prefix,3.46,-0.02327534183859825
reaches,aches,re,prefix,4.16,-0.022110115736722946
outgoing,going,out,prefix,3.59,-0.02160685695707798
oversees,sees,over,prefix,3.29,-0.021595478057861328
deviation,devi,ation,suffix,3.4,-0.021001195535063744
